139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/59f77efbab65614e739987337344c71d HTTP/1.1" 200 480
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/8d9d127c97f2409d7ec7adea2235e1dd HTTP/1.1" 200 441
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/51b74dc0d127a3900f15e78a88a6ce74 HTTP/1.1" 200 304
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/8858988fda2011409352fa20039e9064 HTTP/1.1" 200 589
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/15905c0320388856bd0a752ac9eb29d6 HTTP/1.1" 200 607
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/8d3627867eac75024695be687c6aa21a HTTP/1.1" 200 683
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/ffae06771d86b2fd0ddfaf23f49bfb9a HTTP/1.1" 200 481
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/f573bfd343dcf26a83a381d24cf71927 HTTP/1.1" 200 439
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/a38304cb5108f2c6f5d4f2b891016e32 HTTP/1.1" 200 448
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/9601e57e3d567bc191901ca87ed612d2 HTTP/1.1" 200 454
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/1eb38c5015ab20f7f392783737cd05ed HTTP/1.1" 200 455
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/5bc94217be28b3957f510db35832bdd4 HTTP/1.1" 200 430
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/4a8dd16164f0e80efe36cebef2d584b4 HTTP/1.1" 200 450
139.133.73.79 - - [13/May/2014:12:42:54 +0100] "GET /smile-server/api-1.1/business/9d6f1155a07641aa14dba27a061d1522 HTTP/1.1" 200 456
139.133.73.79 - - [13/May/2014:12:42:56 +0100] "GET /smile-server/api-1.1/business/9d6f1155a07641aa14dba27a061d1522 HTTP/1.1" 200 456
